c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
timber,lines,timberlines,1,10.8,-0.173428762,-0.141981303,0
bee,lines,beelines,1,12.4,1.121993596,0.816758549,0
dead,lines,deadlines,1,9.76,-0.318197042,-0.33488751,0
rat,lines,ratlines,1,10.7,-0.116539239,-0.194382968,0
guns,lingers,gunslingers,1,10.4,-0.265912642,-0.218625942,0
ant,lion,antlion,1,10.7,-0.116539239,-0.194382968,0
hare,lip,harelip,1,12.4,1.121993596,0.816758549,0
hare,lips,harelips,1,12.4,1.121993596,0.816758549,0
black,list,blacklist,1,9.22,-0.35420812,-0.385010055,0
soda,lite,sodalite,1,13.1,1.584817358,1.894646915,0
breech,loader,breechloader,1,9,-0.36699758,-0.389517795,0
dead,lock,deadlock,1,9.76,-0.318197042,-0.33488751,0
grid,lock,gridlock,1,9.76,-0.318197042,-0.33488751,0
match,lock,matchlock,1,9,-0.36699758,-0.389517795,0
fire,lock,firelock,1,12.4,1.121993596,0.816758549,0
dread,lock,dreadlock,1,9.76,-0.318197042,-0.33488751,0
row,lock,rowlock,1,8.85,-0.361912167,-0.374591008,0
wed,lock,wedlock,1,9.76,-0.318197042,-0.33488751,0
oar,lock,oarlock,1,10.8,-0.173428762,-0.141981303,0
flint,lock,flintlock,1,10.7,-0.116539239,-0.194382968,0
row,locks,rowlocks,1,8.85,-0.361912167,-0.374591008,0
oar,locks,oarlocks,1,10.8,-0.173428762,-0.141981303,0
flint,locks,flintlocks,1,10.7,-0.116539239,-0.194382968,0
dead,locks,deadlocks,1,9.76,-0.318197042,-0.33488751,0
match,locks,matchlocks,1,9,-0.36699758,-0.389517795,0
hammer,locks,hammerlocks,1,10.8,-0.173428762,-0.141981303,0
back,log,backlog,1,9.22,-0.35420812,-0.385010055,0
sir,loin,sirloin,1,10.8,-0.173428762,-0.141981303,0
sir,loins,sirloins,1,10.8,-0.173428762,-0.141981303,0
broad,loom,broadloom,1,9.76,-0.318197042,-0.33488751,0
heir,loom,heirloom,1,10.8,-0.173428762,-0.141981303,0
heir,looms,heirlooms,1,10.8,-0.173428762,-0.141981303,0
wood,louse,woodlouse,1,9.76,-0.318197042,-0.33488751,0
land,lubber,landlubber,1,9.76,-0.318197042,-0.33488751,0
land,lubbers,landlubbers,1,9.76,-0.318197042,-0.33488751,0
pot,luck,potluck,1,10.7,-0.116539239,-0.194382968,0
pot,lucks,potlucks,1,10.7,-0.116539239,-0.194382968,0
aqua,lung,aqualung,1,13.1,1.584817358,1.894646915,0
aqua,lungs,aqualungs,1,13.1,1.584817358,1.894646915,0
tar,macadam,tarmacadam,1,11.3,-0.228153453,-0.23773812,0
hand,maid,handmaid,1,9.44,-0.354737851,-0.37907264,0
bond,maid,bondmaid,1,9.44,-0.354737851,-0.37907264,0
hand,maiden,handmaiden,1,9.44,-0.354737851,-0.37907264,0
hand,maidens,handmaidens,2,9.44,-0.354737851,-0.37907264,0
red,maids,redmaids,1,9.44,-0.354737851,-0.37907264,0
black,mail,blackmail,1,6.53,-0.376285521,-0.401094781,0
green,mail,greenmail,1,9.81,-0.364361288,-0.38849601,0
black,mailer,blackmailer,1,6.53,-0.376285521,-0.401094781,0
black,mailers,blackmailers,1,6.53,-0.376285521,-0.401094781,0
black,mails,blackmails,1,6.53,-0.376285521,-0.401094781,0
green,mails,greenmails,1,9.81,-0.364361288,-0.38849601,0
king,maker,kingmaker,1,7.66,-0.373889374,-0.39879482,0
marsh,mallow,marshmallow,1,8.58,-0.35864373,-0.395229165,0
marsh,mallows,marshmallows,1,8.58,-0.35864373,-0.395229165,0
pit,man,pitman,1,9.83,-0.337224961,-0.362105604,0
line,man,lineman,1,12,0.203478011,0.191027626,0
select,man,selectman,1,9.83,-0.337224961,-0.362105604,0
dales,man,dalesman,1,10.1,-0.290146046,-0.293393397,0
bogey,man,bogeyman,1,9.49,-0.345177981,-0.359830492,0
raft,man,raftman,1,9.83,-0.337224961,-0.362105604,0
ledge,man,ledgeman,1,12,0.203478011,0.191027626,0
lens,man,lensman,1,10.1,-0.290146046,-0.293393397,0
heads,man,headsman,1,10.1,-0.290146046,-0.293393397,0
chair,man,chairman,1,11.3,-0.228153453,-0.23773812,0
freed,man,freedman,1,9.44,-0.354737851,-0.37907264,0
seeds,man,seedsman,1,10.1,-0.290146046,-0.293393397,0
rounds,man,roundsman,1,10.1,-0.290146046,-0.293393397,0
draughts,man,draughtsman,1,10.1,-0.290146046,-0.293393397,0
pig,man,pigman,1,7.66,-0.373889374,-0.39879482,0
liege,man,liegeman,1,12,0.203478011,0.191027626,0
excise,man,exciseman,1,12,0.203478011,0.191027626,0
alder,man,alderman,1,11.3,-0.228153453,-0.23773812,0
crags,man,cragsman,1,10.1,-0.290146046,-0.293393397,0
link,man,linkman,1,6.53,-0.376285521,-0.401094781,0
fresh,man,freshman,1,8.58,-0.35864373,-0.395229165,0
plants,man,plantsman,1,10.1,-0.290146046,-0.293393397,0
chap,man,chapman,1,8.67,-0.372729264,-0.398715922,0
pantry,man,pantryman,1,9.49,-0.345177981,-0.359830492,0
cracks,man,cracksman,1,10.1,-0.290146046,-0.293393397,0
place,man,placeman,1,12,0.203478011,0.191027626,0
anchor,man,anchorman,1,11.3,-0.228153453,-0.23773812,0
posse,man,posseman,1,12,0.203478011,0.191027626,0
pen,man,penman,1,9.81,-0.364361288,-0.38849601,0
links,man,linksman,1,10.1,-0.290146046,-0.293393397,0
pitch,man,pitchman,1,8.58,-0.35864373,-0.395229165,0
hod,man,hodman,1,9.44,-0.354737851,-0.37907264,0
pack,man,packman,1,6.53,-0.376285521,-0.401094781,0
press,man,pressman,1,10.1,-0.290146046,-0.293393397,0
privateers,man,privateersman,1,10.1,-0.290146046,-0.293393397,0
trencher,man,trencherman,1,11.3,-0.228153453,-0.23773812,0
helms,man,helmsman,1,10.1,-0.290146046,-0.293393397,0
pot,man,potman,1,9.83,-0.337224961,-0.362105604,0
vestry,man,vestryman,1,9.49,-0.345177981,-0.359830492,0
swag,man,swagman,1,7.66,-0.373889374,-0.39879482,0
mat,man,matman,1,9.83,-0.337224961,-0.362105604,0
longshore,man,longshoreman,1,12,0.203478011,0.191027626,0
bit,maps,bitmaps,1,9.83,-0.337224961,-0.362105604,0
brood,mare,broodmare,1,9.44,-0.354737851,-0.37907264,0
night,mare,nightmare,1,9.83,-0.337224961,-0.362105604,0
brood,mares,broodmares,1,9.44,-0.354737851,-0.37907264,0
night,mares,nightmares,1,9.83,-0.337224961,-0.362105604,0
bench,mark,benchmark,1,8.58,-0.35864373,-0.395229165,0
pock,mark,pockmark,1,6.53,-0.376285521,-0.401094781,0
mint,mark,mintmark,1,9.83,-0.337224961,-0.362105604,0
water,mark,watermark,1,11.3,-0.228153453,-0.23773812,0
ear,mark,earmark,1,11.3,-0.228153453,-0.23773812,0
hall,mark,hallmark,1,9.68,-0.329768121,-0.358335775,0
hall,marks,hallmarks,1,9.68,-0.329768121,-0.358335775,0
pock,marks,pockmarks,1,6.53,-0.376285521,-0.401094781,0
foul,mart,foulmart,1,9.68,-0.329768121,-0.358335775,0
free,masonry,freemasonry,1,12,0.203478011,0.191027626,0
mizzen,mast,mizzenmast,1,9.81,-0.364361288,-0.38849601,0
mizen,mast,mizenmast,1,9.81,-0.364361288,-0.38849601,0
jigger,mast,jiggermast,1,11.3,-0.228153453,-0.23773812,0
quarter,master,quartermaster,1,11.3,-0.228153453,-0.23773812,0
quarter,masters,quartermasters,1,11.3,-0.228153453,-0.23773812,0
pay,masters,paymasters,1,9.49,-0.345177981,-0.359830492,0
main,masts,mainmasts,1,9.81,-0.364361288,-0.38849601,0
top,masts,topmasts,1,8.67,-0.372729264,-0.398715922,0
mizzen,masts,mizzenmasts,1,9.81,-0.364361288,-0.38849601,0
check,mate,checkmate,1,6.53,-0.376285521,-0.401094781,0
mess,mate,messmate,1,10.1,-0.290146046,-0.293393397,0
stale,mate,stalemate,1,12,0.203478011,0.191027626,0
flat,mate,flatmate,1,9.83,-0.337224961,-0.362105604,0
check,mates,checkmates,1,6.53,-0.376285521,-0.401094781,0
stale,mates,stalemates,1,12,0.203478011,0.191027626,0
after,math,aftermath,1,11.3,-0.228153453,-0.23773812,0
after,maths,aftermaths,1,11.3,-0.228153453,-0.23773812,0
water,meal,watermeal,1,11.3,-0.228153453,-0.23773812,0
sweet,meat,sweetmeat,1,9.83,-0.337224961,-0.362105604,0
force,meat,forcemeat,1,12,0.203478011,0.191027626,0
sweet,meats,sweetmeats,1,9.83,-0.337224961,-0.362105604,0
musk,melon,muskmelon,1,6.53,-0.376285521,-0.401094781,0
musk,melons,muskmelons,1,6.53,-0.376285521,-0.401094781,0
freed,men,freedmen,1,9.44,-0.354737851,-0.37907264,0
cow,men,cowmen,1,7.31,-0.377385595,-0.400055247,0
alder,men,aldermen,1,11.3,-0.228153453,-0.23773812,0
chair,men,chairmen,1,11.3,-0.228153453,-0.23773812,0
pitch,men,pitchmen,1,8.58,-0.35864373,-0.395229165,0
foot,men,footmen,1,9.83,-0.337224961,-0.362105604,0
link,men,linkmen,1,6.53,-0.376285521,-0.401094781,0
select,men,selectmen,1,9.83,-0.337224961,-0.362105604,0
quarry,men,quarrymen,1,9.49,-0.345177981,-0.359830492,0
lay,men,laymen,1,9.49,-0.345177981,-0.359830492,0
livery,men,liverymen,1,9.49,-0.345177981,-0.359830492,0
press,men,pressmen,1,10.1,-0.290146046,-0.293393397,0
frog,men,frogmen,1,7.66,-0.373889374,-0.39879482,0
dust,men,dustmen,1,9.83,-0.337224961,-0.362105604,0
brake,men,brakemen,1,12,0.203478011,0.191027626,0
bats,men,batsmen,1,10.1,-0.290146046,-0.293393397,0
bogey,men,bogeymen,1,9.49,-0.345177981,-0.359830492,0
steers,men,steersmen,1,10.1,-0.290146046,-0.293393397,0
vestry,men,vestrymen,1,9.49,-0.345177981,-0.359830492,0
lands,men,landsmen,1,10.1,-0.290146046,-0.293393397,0
gauss,meter,gaussmeter,1,10.1,-0.290146046,-0.293393397,0
fore,milk,foremilk,1,12,0.203478011,0.191027626,0
tread,mill,treadmill,1,9.44,-0.354737851,-0.37907264,0
tread,mills,treadmills,1,9.44,-0.354737851,-0.37907264,0
grist,mills,gristmills,1,9.83,-0.337224961,-0.362105604,0
baby,minder,babyminder,1,9.49,-0.345177981,-0.359830492,0
net,minder,netminder,1,9.83,-0.337224961,-0.362105604,0
top,minnow,topminnow,1,8.67,-0.372729264,-0.398715922,0
spear,mint,spearmint,1,11.3,-0.228153453,-0.23773812,0
horse,mint,horsemint,1,12,0.203478011,0.191027626,0
blood,mobile,bloodmobile,1,9.44,-0.354737851,-0.37907264,0
blood,mobiles,bloodmobiles,1,9.44,-0.354737851,-0.37907264,0
hood,mold,hoodmold,1,9.44,-0.354737851,-0.37907264,0
iron,monger,ironmonger,1,9.81,-0.364361288,-0.38849601,0
whore,monger,whoremonger,1,12,0.203478011,0.191027626,0
cheese,monger,cheesemonger,1,12,0.203478011,0.191027626,0
scandal,monger,scandalmonger,1,9.68,-0.329768121,-0.358335775,0
fish,monger,fishmonger,1,8.58,-0.35864373,-0.395229165,0
news,monger,newsmonger,1,10.1,-0.290146046,-0.293393397,0
honey,moon,honeymoon,1,9.49,-0.345177981,-0.359830492,0
honey,moons,honeymoons,1,9.49,-0.345177981,-0.359830492,0
roll,mops,rollmops,1,9.68,-0.329768121,-0.358335775,0
spike,moss,spikemoss,1,12,0.203478011,0.191027626,0
ditch,moss,ditchmoss,1,8.58,-0.35864373,-0.395229165,0
step,mother,stepmother,1,8.67,-0.372729264,-0.398715922,0
god,mother,godmother,1,9.44,-0.354737851,-0.37907264,0
hood,mould,hoodmould,1,9.44,-0.354737851,-0.37907264,0
tit,mouse,titmouse,1,9.83,-0.337224961,-0.362105604,0
motor,mouth,motormouth,1,11.3,-0.228153453,-0.23773812,0
goal,mouth,goalmouth,1,9.68,-0.329768121,-0.358335775,0
wry,mouth,wrymouth,1,9.49,-0.345177981,-0.359830492,0
cotton,mouths,cottonmouths,1,9.81,-0.364361288,-0.38849601,0
goal,mouths,goalmouths,1,9.68,-0.329768121,-0.358335775,0
hay,mow,haymow,1,9.49,-0.345177981,-0.359830492,0
hay,mows,haymows,1,9.49,-0.345177981,-0.359830492,0
hob,nail,hobnail,1,5.61,-0.37727082,-0.400741971,0
hob,nails,hobnails,1,5.61,-0.37727082,-0.400741971,0
nick,name,nickname,1,9.8,0.24337378,0.007671782,0
nick,names,nicknames,1,9.8,0.24337378,0.007671782,0
kid,napper,kidnapper,2,9.16,-0.127075579,-0.369264283,0
kid,nappers,kidnappers,1,9.16,-0.127075579,-0.369264283,0
kid,napping,kidnapping,2,9.16,-0.127075579,-0.369264283,0
dread,naught,dreadnaught,1,9.16,-0.127075579,-0.369264283,0
leather,neck,leatherneck,1,11.5,-0.127690066,-0.055520061,0
rough,neck,roughneck,1,9.71,-0.338946585,-0.394880821,0
fiddle,neck,fiddleneck,1,13.4,1.900234782,2.183449071,0
wry,neck,wryneck,1,9.11,-0.365081721,-0.398626717,0
rubber,neck,rubberneck,1,11.5,-0.127690066,-0.055520061,0
red,neck,redneck,1,9.16,-0.127075579,-0.369264283,0
turtle,neck,turtleneck,1,13.4,1.900234782,2.183449071,0
rubber,necker,rubbernecker,1,11.5,-0.127690066,-0.055520061,0
turtle,necks,turtlenecks,1,13.4,1.900234782,2.183449071,0
red,necks,rednecks,1,9.16,-0.127075579,-0.369264283,0
rough,necks,roughnecks,1,9.71,-0.338946585,-0.394880821,0
crook,necks,crooknecks,1,9.8,0.24337378,0.007671782,0
leather,necks,leathernecks,1,11.5,-0.127690066,-0.055520061,0
rubber,necks,rubbernecks,1,11.5,-0.127690066,-0.055520061,0
ether,net,ethernet,1,11.5,-0.127690066,-0.055520061,0
drag,nets,dragnets,1,10.4,-0.308216919,-0.341862512,0
cat,nip,catnip,1,8.95,-0.355371761,-0.3878023,0
hook,nose,hooknose,1,9.8,0.24337378,0.007671782,0
blue,nose,bluenose,1,13.4,1.900234782,2.183449071,0
bladder,nose,bladdernose,1,11.5,-0.127690066,-0.055520061,0
cone,nose,conenose,1,13.4,1.900234782,2.183449071,0
blue,noses,bluenoses,1,13.4,1.900234782,2.183449071,0
key,note,keynote,1,9.11,-0.365081721,-0.398626717,0
foot,note,footnote,1,8.95,-0.355371761,-0.3878023,0
dread,nought,dreadnought,1,9.16,-0.127075579,-0.369264283,0
wet,nurse,wetnurse,1,8.95,-0.355371761,-0.3878023,0
dough,nut,doughnut,1,9.71,-0.338946585,-0.394880821,0
thumb,nut,thumbnut,1,5.61,-0.37727082,-0.400741971,0
beech,nut,beechnut,1,9.71,-0.338946585,-0.394880821,0
pig,nut,pignut,1,10.4,-0.308216919,-0.341862512,0
chest,nut,chestnut,1,8.95,-0.355371761,-0.3878023,0
butter,nut,butternut,1,11.5,-0.127690066,-0.055520061,0
lock,nut,locknut,1,9.8,0.24337378,0.007671782,0
mocker,nut,mockernut,1,11.5,-0.127690066,-0.055520061,0
coco,nut,coconut,1,13.6,3.247530116,3.164156213,0
candle,nut,candlenut,1,13.4,1.900234782,2.183449071,0
cob,nut,cobnut,1,5.61,-0.37727082,-0.400741971,0
cob,nuts,cobnuts,1,5.61,-0.37727082,-0.400741971,0
chest,nuts,chestnuts,1,8.95,-0.355371761,-0.3878023,0
butter,nuts,butternuts,1,11.5,-0.127690066,-0.055520061,0
beech,nuts,beechnuts,1,9.71,-0.338946585,-0.394880821,0
pea,nuts,peanuts,1,13.8,4.005261904,4.703487749,0
knock,off,knockoff,1,8.42,-0.367020535,-0.391680915,0
stand,offs,standoffs,1,11.4,1.361620714,0.448663335,0
battled,ore,battledore,1,11.4,1.361620714,0.448663335,0
battled,ores,battledores,1,11.4,1.361620714,0.448663335,0
work,out,workout,1,8.42,-0.367020535,-0.391680915,0
cop,out,copout,1,12,0.043928486,0.098449187,0
shake,outs,shakeouts,1,10.6,-0.185865068,-0.055466813,0
pop,over,popover,1,12,0.043928486,0.098449187,0
flash,over,flashover,1,12.4,1.272797272,1.405577189,0
hang,over,hangover,1,11,1.188932107,0.881125508,0
hang,overs,hangovers,1,11,1.188932107,0.881125508,0
pop,overs,popovers,1,12,0.043928486,0.098449187,0
bed,pan,bedpan,1,6.09,-0.37376577,-0.395456584,0
knee,pan,kneepan,1,11.4,-0.090125111,-0.012551385,0
brain,pan,brainpan,1,7.93,-0.373373769,-0.398179894,0
skid,pan,skidpan,1,6.09,-0.37376577,-0.395456584,0
skid,pans,skidpans,1,6.09,-0.37376577,-0.395456584,0
fly,paper,flypaper,1,8.63,-0.360633751,-0.380821114,0
fly,papers,flypapers,1,8.63,-0.360633751,-0.380821114,0
god,parent,godparent,1,6.09,-0.37376577,-0.395456584,0
god,parents,godparents,1,6.09,-0.37376577,-0.395456584,0
fly,pasts,flypasts,1,8.63,-0.360633751,-0.380821114,0
brier,patch,brierpatch,1,10.1,-0.325397845,-0.362006552,0
tow,paths,towpaths,1,5.53,-0.377533919,-0.401330445,0
south,paw,southpaw,1,5.91,-0.377590424,-0.401026418,0
south,paws,southpaws,1,5.91,-0.377590424,-0.401026418,0
chick,pea,chickpea,1,6.3,-0.376617486,-0.400726054,0
cow,pea,cowpea,1,5.53,-0.377533919,-0.401330445,0
chick,peas,chickpeas,1,6.3,-0.376617486,-0.400726054,0
tee,pee,teepee,1,11.4,-0.090125111,-0.012551385,0
bull,pen,bullpen,1,9.5,-0.273374779,-0.297993891,0
two,pence,twopence,1,11.7,0.069424414,0.268456669,0
half,penny,halfpenny,1,3.26,-0.378390317,-0.401474157,0
lay,people,laypeople,1,8.63,-0.360633751,-0.380821114,0
surf,perch,surfperch,1,3.26,-0.378390317,-0.401474157,0
anchor,person,anchorperson,1,10.1,-0.325397845,-0.362006552,0
chair,person,chairperson,1,10.1,-0.325397845,-0.362006552,0
lay,person,layperson,1,8.63,-0.360633751,-0.380821114,0
chair,persons,chairpersons,1,10.1,-0.325397845,-0.362006552,0
salt,peter,saltpeter,1,7.33,-0.376223719,-0.400082958,0
rag,picker,ragpicker,1,5.28,-0.37769637,-0.401260937,0
cow,pie,cowpie,1,5.53,-0.377533919,-0.401330445,0
cheek,piece,cheekpiece,1,6.3,-0.376617486,-0.400726054,0
cod,piece,codpiece,1,6.09,-0.37376577,-0.395456584,0
cod,pieces,codpieces,1,6.09,-0.37376577,-0.395456584,0
mag,pies,magpies,1,5.28,-0.37769637,-0.401260937,0
stool,pigeon,stoolpigeon,1,9.5,-0.273374779,-0.297993891,0
gar,pike,garpike,1,10.1,-0.325397845,-0.362006552,0
turn,pike,turnpike,1,7.93,-0.373373769,-0.398179894,0
candle,pin,candlepin,1,11.4,-0.090125111,-0.012551385,0
lynch,pin,lynchpin,1,5.91,-0.377590424,-0.401026418,0
duck,pin,duckpin,1,6.3,-0.376617486,-0.400726054,0
king,pin,kingpin,1,5.28,-0.37769637,-0.401260937,0
tie,pin,tiepin,1,11.4,-0.090125111,-0.012551385,0
thole,pin,tholepin,1,11.4,-0.090125111,-0.012551385,0
kidnap,pings,kidnappings,1,11.1,-0.073177267,0.004925914,0
outcrop,pings,outcroppings,1,11.1,-0.073177267,0.004925914,0
ten,pins,tenpins,1,7.93,-0.373373769,-0.398179894,0
duck,pins,duckpins,1,6.3,-0.376617486,-0.400726054,0
king,pins,kingpins,1,5.28,-0.37769637,-0.401260937,0
nine,pins,ninepins,1,11.4,-0.090125111,-0.012551385,0
cuckoo,pint,cuckoopint,1,11.7,0.069424414,0.268456669,0
pan,pipe,panpipe,1,7.93,-0.373373769,-0.398179894,0
hawse,pipe,hawsepipe,1,11.4,-0.090125111,-0.012551385,0
stand,pipe,standpipe,1,6.09,-0.37376577,-0.395456584,0
horn,pipe,hornpipe,1,7.93,-0.373373769,-0.398179894,0
sand,piper,sandpiper,1,6.09,-0.37376577,-0.395456584,0
pan,pipes,panpipes,1,7.93,-0.373373769,-0.398179894,0
horn,pipes,hornpipes,1,7.93,-0.373373769,-0.398179894,0
flea,pit,fleapit,1,11.4,0.01488866,-0.004703348,0
cock,pit,cockpit,1,6.3,-0.376617486,-0.400726054,0
flea,pits,fleapits,1,11.4,0.01488866,-0.004703348,0
cock,pits,cockpits,1,6.3,-0.376617486,-0.400726054,0
flood,plain,floodplain,1,6.09,-0.37376577,-0.395456584,0
tail,plane,tailplane,1,9.5,-0.273374779,-0.297993891,0
sail,planes,sailplanes,1,9.5,-0.273374779,-0.297993891,0
gang,plank,gangplank,1,5.28,-0.37769637,-0.401260937,0
gang,planks,gangplanks,1,5.28,-0.37769637,-0.401260937,0
egg,plant,eggplant,1,5.28,-0.37769637,-0.401260937,0
lead,plant,leadplant,1,6.09,-0.37376577,-0.395456584,0
pie,plant,pieplant,1,11.4,-0.090125111,-0.012551385,0
shin,plaster,shinplaster,1,7.93,-0.373373769,-0.398179894,0
book,plate,bookplate,1,6.3,-0.376617486,-0.400726054,0
face,plate,faceplate,1,11.4,-0.090125111,-0.012551385,0
foot,plate,footplate,1,7.33,-0.376223719,-0.400082958,0
book,plates,bookplates,1,6.3,-0.376617486,-0.400726054,0
horse,play,horseplay,1,11.4,-0.090125111,-0.012551385,0
monkey,pod,monkeypod,1,8.63,-0.360633751,-0.380821114,0
sickle,pod,sicklepod,1,11.4,-0.090125111,-0.012551385,0
fringe,pod,fringepod,1,11.4,-0.090125111,-0.012551385,0
bladder,pod,bladderpod,1,10.1,-0.325397845,-0.362006552,0
satin,pod,satinpod,1,7.93,-0.373373769,-0.398179894,0
blue,point,bluepoint,1,11.4,-0.090125111,-0.012551385,0
silver,point,silverpoint,1,10.1,-0.325397845,-0.362006552,0
slow,poke,slowpoke,1,5.53,-0.377533919,-0.401330445,0
cow,poke,cowpoke,1,5.53,-0.377533919,-0.401330445,0
slow,pokes,slowpokes,1,5.53,-0.377533919,-0.401330445,0
ridge,pole,ridgepole,1,11.4,-0.090125111,-0.012551385,0
may,pole,maypole,1,8.63,-0.360633751,-0.380821114,0
tad,pole,tadpole,1,6.09,-0.37376577,-0.395456584,0
tad,poles,tadpoles,1,6.09,-0.37376577,-0.395456584,0
ridge,poles,ridgepoles,1,11.4,-0.090125111,-0.012551385,0
may,poles,maypoles,1,8.63,-0.360633751,-0.380821114,0
black,poll,blackpoll,1,6.3,-0.376617486,-0.400726054,0
red,poll,redpoll,1,6.09,-0.37376577,-0.395456584,0
horse,pond,horsepond,1,11.4,-0.090125111,-0.012551385,0
mill,pond,millpond,1,9.5,-0.273374779,-0.297993891,0
mill,ponds,millponds,1,9.5,-0.273374779,-0.297993891,0
corn,pone,cornpone,1,7.93,-0.373373769,-0.398179894,0
arches,pore,archespore,1,11.3,-0.111067123,-0.090136392,0
stern,post,sternpost,1,7.93,-0.373373769,-0.398179894,0
crack,pot,crackpot,1,6.3,-0.376617486,-0.400726054,0
fuss,pot,fusspot,1,11.3,-0.111067123,-0.090136392,0
stink,pot,stinkpot,1,6.3,-0.376617486,-0.400726054,0
jack,pot,jackpot,1,6.3,-0.376617486,-0.400726054,0
tali,pot,talipot,1,10.5,-0.249337375,-0.250089546,0
sex,pot,sexpot,1,10.3,-0.311981537,-0.338283345,0
stock,pot,stockpot,1,6.3,-0.376617486,-0.400726054,0
fuss,pots,fusspots,1,11.3,-0.111067123,-0.090136392,0
crack,pots,crackpots,1,6.3,-0.376617486,-0.400726054,0
jack,pots,jackpots,1,6.3,-0.376617486,-0.400726054,0
sex,pots,sexpots,1,10.3,-0.311981537,-0.338283345,0
eel,pout,eelpout,1,9.5,-0.273374779,-0.297993891,0
horn,pout,hornpout,1,7.93,-0.373373769,-0.398179894,0
candle,power,candlepower,1,11.4,-0.090125111,-0.012551385,0
camel,pox,camelpox,1,9.5,-0.273374779,-0.297993891,0
cow,pox,cowpox,1,5.53,-0.377533919,-0.401330445,0
small,pox,smallpox,1,9.5,-0.273374779,-0.297993891,0
chicken,pox,chickenpox,1,7.93,-0.373373769,-0.398179894,0
lam,preys,lampreys,1,11.8,-0.147604401,-0.173810312,0
blue,print,blueprint,1,11.4,-0.090125111,-0.012551385,0
off,prints,offprints,1,3.26,-0.378390317,-0.401474157,0
pit,prop,pitprop,1,7.33,-0.376223719,-0.400082958,0
cow,puncher,cowpuncher,1,5.53,-0.377533919,-0.401330445,0
cow,punchers,cowpunchers,1,5.53,-0.377533919,-0.401330445,0
hush,puppy,hushpuppy,1,5.91,-0.377590424,-0.401026418,0
cut,purse,cutpurse,1,7.33,-0.376223719,-0.400082958,0
pickle,puss,picklepuss,1,11.4,-0.090125111,-0.012551385,0
sour,puss,sourpuss,1,10.1,-0.325397845,-0.362006552,0
sour,pusses,sourpusses,1,10.1,-0.325397845,-0.362006552,0
head,quarters,headquarters,1,6.83,-0.376892945,-0.401330903,0
hind,quarters,hindquarters,1,6.83,-0.376892945,-0.401330903,0
jack,rabbit,jackrabbit,1,8.04,-0.374957663,-0.40066605,0
jack,rabbits,jackrabbits,1,8.04,-0.374957663,-0.40066605,0
head,race,headrace,1,10.7,-0.120393912,-0.154098324,0
mill,race,millrace,1,8.53,-0.338743521,-0.352658988,0
mill,races,millraces,1,8.53,-0.338743521,-0.352658988,0
rick,rack,rickrack,1,8.04,-0.374957663,-0.40066605,0
horse,radish,horseradish,1,13.9,4.159634197,3.652748198,0
horse,radishes,horseradishes,1,13.9,4.159634197,3.652748198,0
muck,raking,muckraking,1,8.04,-0.374957663,-0.40066605,0
musk,rat,muskrat,1,8.04,-0.374957663,-0.40066605,0
ear,reach,earreach,1,11,0.02748212,-0.129362951,0
check,rein,checkrein,1,8.04,-0.374957663,-0.40066605,0
spare,rib,sparerib,1,13.9,4.159634197,3.652748198,0
spare,ribs,spareribs,1,13.9,4.159634197,3.652748198,0
hay,rick,hayrick,1,8.97,-0.371749262,-0.395628695,0
hay,ricks,hayricks,1,8.97,-0.371749262,-0.395628695,0
loosest,rife,loosestrife,2,12.2,0.222991517,0.235683856,0
thimble,rig,thimblerig,1,13.9,4.159634197,3.652748198,0
hay,rig,hayrig,1,8.97,-0.371749262,-0.395628695,0
cock,roach,cockroach,1,8.04,-0.374957663,-0.40066605,0
cock,roaches,cockroaches,1,8.04,-0.374957663,-0.40066605,0
sea,robin,searobin,1,13.3,1.817012357,1.937807054,0
bed,rock,bedrock,1,10.7,-0.120393912,-0.154098324,0
ram,rod,ramrod,1,5.81,-0.242844645,-0.401296321,0
ram,rods,ramrods,1,5.81,-0.242844645,-0.401296321,0
board,room,boardroom,1,10.7,-0.120393912,-0.154098324,0
ball,room,ballroom,1,8.53,-0.338743521,-0.352658988,0
tap,room,taproom,1,12.2,0.112339647,0.236197783,0
ward,room,wardroom,1,10.7,-0.120393912,-0.154098324,0
state,room,stateroom,1,13.9,4.159634197,3.652748198,0
tap,rooms,taprooms,1,12.2,0.112339647,0.236197783,0
strong,rooms,strongrooms,1,11.3,-0.089088606,0.081740946,0
briar,root,briarroot,1,11,0.02748212,-0.129362951,0
colic,root,colicroot,1,11.2,-0.134038003,-0.133566205,0
blood,root,bloodroot,1,10.7,-0.120393912,-0.154098324,0
alum,root,alumroot,1,5.81,-0.242844645,-0.401296321,0
flag,root,flagroot,1,11.3,-0.089088606,0.081740946,0
snake,root,snakeroot,1,13.9,4.159634197,3.652748198,0
papoose,root,papooseroot,1,13.9,4.159634197,3.652748198,0
stone,root,stoneroot,1,13.9,4.159634197,3.652748198,0
putty,root,puttyroot,1,8.97,-0.371749262,-0.395628695,0
fever,root,feverroot,1,11,0.02748212,-0.129362951,0
arrow,root,arrowroot,1,9.53,-0.284513246,-0.319595203,0
orris,root,orrisroot,1,8.72,-0.37489233,-0.396245224,0
bread,root,breadroot,1,10.7,-0.120393912,-0.154098324,0
finger,root,fingerroot,1,11,0.02748212,-0.129362951,0
